Gene	beta	fdr	dataset	hit_class	direction	unique_hit
EIF4A3	-0.40407	0.028571	top5	other	DOWN	0
EIF4E	-0.8031	0	top5	all	DOWN	0
EPC2	0.45016	0.033333	top5	top5	UP	1
EXOC7	0.33441	0.093333	top5	top5	UP	1
EXOSC2	0.3022	0.099567	top5	top5	UP	1
FLCN	-0.37899	0.040404	top5	other	DOWN	0
GALE	-1.1174	0	top5	all	DOWN	0
GINS2	-0.35813	0.053846	top5	top5	DOWN	1
GLMN	0.35178	0.060606	top5	all	UP	0
GMPS	0.36484	0.053846	top5	top5	UP	1
GNE	-0.59037	0	top5	all	DOWN	0
GPS1	0.34823	0.066176	top5	top5	UP	1
GSE1	0.40903	0.033333	top5	top5	UP	1
GTPBP10	-0.30745	0.093333	top5	top5	DOWN	1
HDAC3	0.57038	0	top5	all	UP	0
HGS	-0.43983	0.028571	top5	other	DOWN	0
HNRNPH1	-0.35768	0.053846	top5	other	DOWN	0
HSPA13	0.48268	0.028571	top5	other	UP	0
HSPE1	-0.76773	0.089744	top5	all	DOWN	0
ICAM1	1.0734	0	top5	all	UP	0
KPNB1	0.30284	0.096916	top5	other	UP	0
LEO1	0.45165	0.033333	top5	other	UP	0
LIN52	0.31068	0.093333	top5	top5	UP	1
LIPT1	-0.33491	0.086667	top5	all	DOWN	0
LLPH	-0.36504	0.053846	top5	top5	DOWN	1
MAP1LC3B2	-1.1597	0.040404	top5	all	DOWN	0
MAT2A	0.35529	0.053846	top5	other	UP	0
MCU	-0.60694	0	top5	all	DOWN	0
MDN1	-0.39821	0.033333	top5	top5	DOWN	1
MNAT1	0.32333	0.093333	top5	top5	UP	1
MRPL17	0.3213	0.093333	top5	top5	UP	1
MRPL42	-0.43529	0.028571	top5	other	DOWN	0
MRPL51	0.38938	0.052174	top5	top5	UP	1
MRPS16	-0.4157	0.028571	top5	all	DOWN	0
MRPS27	-0.39925	0.033333	top5	other	DOWN	0
MRPS28	-0.34322	0.076389	top5	other	DOWN	0
MRPS35	-0.43264	0.028571	top5	all	DOWN	0
MRPS7	-0.30597	0.093333	top5	top5	DOWN	1
MTHFD1	-0.39532	0.033333	top5	all	DOWN	0
MYADM	0.60786	0	top5	all	UP	0
NAMPT	-0.32314	0.093333	top5	top5	DOWN	1
NANS	-0.62155	0	top5	all	DOWN	0
NCBP2	0.42606	0.033333	top5	top5	UP	1
NCOR1	0.30361	0.093333	top5	other	UP	0
NCR3LG1	0.98493	0	top5	all	UP	0
NEDD8	0.84615	0	top5	all	UP	0
NFU1	0.35679	0.053846	top5	top5	UP	1
NHLRC2	0.52127	0	top5	all	UP	0
NHP2L1	0.35458	0.053846	top5	top5	UP	1
NR2F2	0.3221	0.093333	top5	top5	UP	1
NSMCE1	0.44197	0.033333	top5	other	UP	0
NUBP1	0.38947	0.052174	top5	other	UP	0
NUP133	0.52442	0	top5	all	UP	0
NUP214	-0.33287	0.086667	top5	other	DOWN	0
NUTF2	-0.47907	0.020833	top5	top5	DOWN	1
NXT1	-0.32891	0.089744	top5	top5	DOWN	1
ORAOV1	-0.3973	0.033333	top5	top5	DOWN	1
ORC2	-0.32014	0.093333	top5	all	DOWN	0
ORC4	0.34744	0.066176	top5	other	UP	0
OXSM	0.31871	0.093333	top5	top5	UP	1
PAF1	0.3064	0.093333	top5	top5	UP	1
PAK1IP1	-0.3819	0.040404	top5	top5	DOWN	1
PAXIP1	-0.31997	0.093333	top5	top5	DOWN	1
PBX2	0.33688	0.089744	top5	other	UP	0
PCYT2	0.35701	0.053846	top5	top5	UP	1
PDCD11	-0.34069	0.076389	top5	top5	DOWN	1
PDIA3	0.37669	0.052174	top5	other	UP	0
PDS5A	0.44671	0.033333	top5	all	UP	0
PELO	-0.72972	0	top5	all	DOWN	0
PEX2	-0.33374	0.086667	top5	top5	DOWN	1
PGAM4	0.72643	0.070922	top5	all	UP	0
PIGB	0.30495	0.093333	top5	top5	UP	1
PIK3C3	0.4436	0.033333	top5	all	UP	0
PIK3CA	0.48475	0.028571	top5	all	UP	0
POLE2	-0.31851	0.093333	top5	all	DOWN	0
POLR2J3	-0.41217	0.028571	top5	other	DOWN	0
POLR2K	-0.75824	0.089744	top5	all	DOWN	0
POLR3A	0.33147	0.093333	top5	other	UP	0
POP5	-0.3068	0.093333	top5	top5	DOWN	1
PPAN	-0.43061	0.028571	top5	all	DOWN	0
PPP1CB	0.34997	0.060606	top5	other	UP	0
PPP2R3C	0.32715	0.093333	top5	top5	UP	1
PREB	-0.38297	0.040404	top5	all	DOWN	0
PRKRA	0.3098	0.093333	top5	top5	UP	1
PRPF4	-0.44188	0.028571	top5	all	DOWN	0
